text,age,age_cat,gender
I was looking for a source cheaper than local Big Box Pet Stores. Looks like I found it!,39,25-54,M
"Full marks to DigitalRev who offered a very good price for a DSLR camera I bought. Promptly despatched, although DHL did take one day longer than they should have at the UK end. This was due to them not being able to complete all deliveries in the round given & the item returned back. The package was well wrapped and received fine.",53,25-54,M
CJS CD Keys Always delivers my keys to email works like a charm just got my 8th key from ther shop no problems at all,26,25-54,M
"I ordered the parts, got them, they work well, and I will come back to order from PartsGeek.",22,15-24,M
Simple and easy,26,25-54,M
was not  sure at first so many online gimmicks that just take your money but this works and i will be back again,26,25-54,M
I would recommend this company to anyone.,46,25-54,M
I could not believe the number of choices and the prices.  If I find something somewhere else I immediately go to supplement warehouse to find it at a better price. Keep up the good work.,43,25-54,M
best on the net...other people recommend other sites until i send them here...price matching is the best although other places are always more expencive to begine with....5 years stong!,35,25-54,M
"As always, I was able to find what I needed then check out extremely fast & easy!",38,25-54,M
"If you want to know how they really are, just ask someone that have bought Simcity 2013 to them. They were selling bunches of keys of the game on ""pre-order"" months before the release date, promising they would get the key 2 days before the release. The keys were Hungarian (not multi-language) and ""unexpectedly"" the majority of people didn't want to play in Hungarian. What they basically did on the release date is to ignore all the pre-orders and continue selling more expensive multi-language keys to new customers (who were going to pay more for it) while lying the pre-order customers with empty promises and broken deadlines (around 10 broken deadlines) about when were they going to get what they paid for months ago. Today is the release day, I'm a pre-order customer, it's 21:49 and I don't have the key I bought to them long ago and should have arrived 2 days ago. There are quite a lot of people like me and no explanations. Well, some of the ones that have got theirs say their keys were already used (and now have kind of a second problem). I just recommend you to run away from their services as far as you can.",28,25-54,M
"...And it won't be my last! You guys had a great deal going for the latest Metro game, and I jumped on it as soon as I was able, and i'm extremely happy I did! Autokey was a breeze, and checkout was easy too! I'll be sure to tell friends about the site, there are alot of good deals!",22,15-24,M
"WOW fantastic baby, HELLO GUYS OUT THERE, if you're going to have a date soon then you should get some asian swag. The gurls love it HOLLA at yesstyle.com <3",18,15-24,M
"If you wanna buy anything related to gaming online, PC Game Supply is the site. Amazing, instant and prompt service and easy to use instructions. Absolute delight.",20,15-24,M
"Easy, fast, friendly and accurate.",31,25-54,M
"very useful site, fast delivery and cheap products. see you soon from Italy !! Stefano",47,25-54,M
"Gameseek got my ps4 to me early (cheaper too),communication was excellent, I sent volleys of emails and was replied to within the same day. In a word awesome!",26,25-54,M
"I recommend myprotein supplements to anyone who asks me what they should take, really good prices, really good quality and well thought out bundles that work unbelievably well!",24,15-24,M
"We bought two cars in the past twelve months both times using CarsDirect.com.  In both cases they were extremely helpful in locating the vehicles in a timely manner.  The visit to the dealership the first time was less than 30 minutes, totally painless.  The second purchase , no so much.  The Finance Manager was a total jerk and screwed up the paperwork.  He was making us travel all the way back to accomodate his mistake (it was easily an hour drive, round trip).  Rather than dong this, we simply called our contact at CarsDirect.com and he set the dealership straight and made them mail us the corrected documents to sign.  I will always use CarsDirect.com, the amount I could save negotiating on my own is not worth the countless headaches it would require.",45,25-54,M
i received a legit copy of a game but couldn't use the original code.Using CJS CD keys was a great way of getting a code that worked and wasn't illegal or dodgy.,36,25-54,F
"A good hostel booking website.  I guess I find it a less clear to use over other websites, but that might just be because I am more used to them.  I still make sure to always check this site along with other booking search engines when planning a trip.  Some great pluses are that they were recently having a sale, so we ended up getting our accommodation even cheaper, and the customer service is very good.  I contacted them about a cancellation after not hearing back from the hostel and they made sure that it was all sorted out for me.  Also, no booking fee!  Sometimes the rates for the same place are lower on this site, as well, so definitely check it out!",25,25-54,F
They Shrink wrap Used games and sell them as new. Don't waste your time.,37,25-54,M
Majority of the games are excellent condition and complete. Have received a few games that clearly had not been tested checked or cleaned. On the upside they were replaced or refunded but I still had to to the trouble of returning them.,37,25-54,M
"Look no further, best selection and prices.",37,25-54,M
Took them almost 2 weeks to JUST to send an in stock battery out and refuse to be fair on returning it. 20 days to get it to my house!,20,15-24,M
Easy and cheap.,29,25-54,M
"With undercutting competitors prices it's impossible to get it cheaper, and it ships extremely quick....What else do you want from a supplement company?",25,25-54,M
We have found J to be very hard working and has come up with numerous solutions to help develop and expand our online business. He has also been very creative and always available. Best thing to happen to us on our e commerce site.,43,25-54,M
Just found this site looking for the best deal on some MHP IsoFast 50.  They didn't have the best price...until I plugged in the competitor's price and then they BEAT the best price I could find.  True they don't offer free shipping...but they're pretty honest about the deal since the sites I compared that offered free shipping truly were more expensive in the long run. Now to see how fast the shipment comes in.  I'm originally from Wisconsin (where they company is located) and now live in CA so hopefully the shipment gets here fast.  I'm almost out of protein and don't want to go to the local store and pay $18 more per container. Thanks SupplementWarehouse!,42,25-54,M
Great company match competitor prices,47,25-54,M
"The most dedicated webstore to meet your special needs, vitamins, supp., body-care, groceries & more!!I I love how you can shop by filtering ingredients! Always offering deals on product and shipping!! If you haven't browsed them I recommend that you do so!!",25,25-54,M
One of the only stores that carry everything and inexpensive!!,25,25-54,M
"Always the best prices, best service and ship fast.  Thanks SW!!",29,25-54,F
I've used Golf18 several times now with no problems. Anytime I play Gunter's Landing in AL I book with Golf18 and save at least $20.,53,25-54,M
"I engaged Taxes for Expats because I finally reached a breaking point as an expat living overseas. I'd asked dozens of people about how to deal with working for a UN organization and meeting my obligations as a US citizen with regard to paying taxes. No two people ever gave me the same answer. I don't remember how I found Taxes for Expats, but when I did, I thought, ""What have I got to lose? They can't be any worse than the last guy I hired. At the very least, maybe they'll actually respond to my questions."" Taxes for Expats' customer service is excellent! Their website is comprehensive and user-friendly. Their services are thorough. When I had questions, I'd send my tax accountant an email and she would respond within 24 hours. On top of that, the price was right, especially after being quoted prices by various other firms both in the US and in Europe ranging from $300 to $1,500 for a return. All-in-all, Taxes for Expats is outstanding and worth every penny. I'll definitely be engaging them again for my 2014 taxes.",46,25-54,F
"I never usually write reviews, but I feel that I have to for this website.  I was scared of purchasing Skyrim: Legendary Edition from somewhere other than Steam, especially for so cheap!  I even bought it after 11PM (at a strange time), but I received my CD key via email after 5 minutes.  10/10, would buy from again.",20,15-24,M
"I have developed a great relationship with herbies over the years and have a lot of friends that have followed me. word of mouth works out the best!! They have kept everyone of our business happy . I have seen many comments on here and people can be kinda ""DUH""..  for one thing herbies is NOT the breeder and therefore can not control the freshness he is presented with from the BREEDER! and of coarse the mail problems is all HERBIES fault cuz he owns the mail system world wide. when I made a complaint about my mail it had herbies address .  to much indulgence is no good people!   nuf said..     Thanks B! keep it up :)",54,25-54,M
gets better every day!,53,25-54,M
My necklace came fast and met my expectations. I'm planning in order a second necklace.,36,25-54,F
"Picking my stone was easy. The site was simple to navigate, and the price was reasonable. The checkout process was a little bit tricky. I didn't like the idea if walking into the bank and handing over money blindly. I was originally given an account number for an account that had been closed. The person at the bank cautioned me about purchasing my stone with no record of the transaction besides a deposit. After many phone calls I decided to pay with a credit card.  Paying with a credit card was a much easier option, but the discount did not apply that way.",40,25-54,F
"I dropped my laptop and shattered the screen I had priced replacing screens before a few years ago and thought i was going to have to just replace my laptop as in the past it was cheaper to do that. A few days before going to buy a new i googlled laptop screens and found Laptopscreensnow.com i was amazed at the prices i placed an order for a new screen and received it in a matter of a few days. It took me less than 10 minutes to remove and replace the screen from start to finish, and this was all done for less than a hundred dollars and that included express shipping. I will definitely use them again in the future should i have need and highly recommend them to anyone needing to replace there screen",42,25-54,M
"I would advise you to get square trade warranty for all electronics you buy or order online. They will either replace your defective equipment or send you a check for equal value. Trust me, it's worth it.",34,25-54,M
"The only time I had a concern, it was taken care of immediately and politely.  Ordered about 10 times now and pricing is the best on the web, do a comparison and you'll see.  Use the promo codes sent to your em-mail to take a couple bucks off of the shipping!  Lots of free goodies with every order too!",27,25-54,M
"I don't usually give store recommendations online but I have to highly recommend chewy.com for all your pet needs. We've been shopping through them since moving to NYC (and realizing that transporting 30 lbs of kitty litter 30 blocks is no fun in the city) and their prices are great. I just had to call customer service about an order and not only did I get a human being in only a few rings, she was incredibly helpful and polite.",26,25-54,F
"I purchased a diamond engagement ring, and two wedding bands, in January 2013.  Anthony and others I spoke to at Brilliance were great in helping me choose the right diamond.  The rings are beautiful and shipped quickly.  We've had them independently appraised at higher than the purchase price.  Thanks, Brilliance.",37,25-54,M
"I found a gorgeous, hard to find French Connection dress on this site. In less than 48 hours, it was in my hands.Expedited shipping was so cheap! Being that it was coming from the UK, I wasn't actually expecting it to be in time. I was pleasantly surprised to see the FedEx delivery today!  I will definitely be using this site again",29,25-54,F
"This site has been such a time saver! I have been able to find every brand of dog food/toys/treats that I could ever need. I had been spending a lot more on grain free foods from my local pet store. On this site, I am always able to get really good discounts. They always have trials available as well to test out some new products. I recommend this site to all of my friends with dogs and cats!",28,25-54,F
"I have used Priceline for several years now and have never been disappointed.  I have consistently gotten the best rates and had excellent accommodations - twice I was upgraded to suite level for no additional cost and received additional perks, such as breakfasts and dinners gratis.  I have visited other sites, but Priceline is the easiest to use and yields the best results.",50,25-54,F
"The area I was located to has terrible reception with only this carrier, and services are bad, unfortunately I signed up for a 2 year contract and cannot wait for it to end.",23,15-24,M
"Good, but if you comparison shop you can 90% the time find a better deal be it shipping or more items, Amazon is often misleading with the number of items to be sent.",23,15-24,M
"By far the best prices I have seen, they will even beat out anyone else with a good deal. But afetr purchasing several times from the site I have repeatedly received the wrong order, paying for a 70 serving container and getting a 30 when it arrived, then after contacting them, they told me to send it back and they would issue me what I paid for....yet AGAIN sent the wrong size for what I paid. Then get put on hold for over an hour trying to reach customer service, then told that due to their customer service office being closed I have to call back during their hours of operation.",23,15-24,M
great price but shipping is a killer sometimes.,27,25-54,M
Fully satisfied with the product. Recieved my new glasses within a few days! Can recommend klartsyn.dk to everyone!,37,25-54,M
the prices are cheaper than amazon and the shipping seems reasonable. my only knock against sw is they  don't carry maltodextrin.,28,25-54,M
A friend told me about Health Designs and I signed up right away to purchase a shake that I had previously been taking through a Dr's office. The shipping seems like it takes a while but now that I know I plan in advance before I run out of supplies. They have such an amazing selection of great quality products that this is the only site I will be ordering my vitamins from.,27,25-54,F
"Good afternoon. About the order 100568841 of 9/28/13, did not get the products. Please check in your system if there was any return of the Brazilian Postal Service (correios) to the Iherb Inc. What should I do in this case? I look forward to returning soon. 150 days have passed",24,15-24,M
"On three seperate occasions I ordered several products which, according to the website, should be in stock. My first order to more then 65 days to be completed. With my last order the website claimed a delivery time of 5-7 days. After 2 weeks you ask for the status of your order. The tell you their supplier is sending the goods. So please wait 5 more days. 2 weeks later you inform again. Now the supplier has stock issues and they are not sure when to deliver. Never again will I order something at Golfstore Europe.",52,25-54,M
"very easy site to navigate. great assistance with queries and very quick response. I booked an overseas dinner cruise for friends which was effortless. the listing had heaps of information including a location map, which helped with the right choice of event  to fit in with their itinerary. would definitely recommend this site. Joe. Melbourne, Australia.",48,25-54,M
"These guys are great. We determined that we needed a flight case for our 27-inch iMac on a Tuesday afternoon Arizona-Time (about 7:00PM in Maidstone, Kent) and we were able to reach a representative via chat to answer a few questions that we had. We ordered that evening and had the case on Friday morning for a weekend trade show. My only problem thus far is that I need to create an instruction sheet for how to put the computer into the case correctly. The TSA screeners at the airport do not put the computer back in place properly so the panel separating the lower storage compartment does not stay in place and the contents of the compartment shift.",43,25-54,M
"I used this program to record webinars so I was not stuck at my computer for hours.  This program was great, you just set it to record and then go about your day.",43,25-54,F
"I'd rather pay extra at the competitors and receive human like support and treatment. I've been waiting for over a week for a full answer on how to get the deluxe content for Far Cry 3. Instead I get pointless answers and links that provide no useful info with broken image for screenshots. At the end of each reply from your support I get a sentence like ""I see you no longer need our assistance..."" what makes you think so if you've never asked if I need further assistance? Even EA support is better than what you provide and that should show you how badly you provide support. At the end you ask me to write a NICE review... well after over a week.. here I am writing a review. Keep out!",33,25-54,M
"My husband is a tall guy and loves that they have a huge selection of long and even EXTRA long ties.  Their prices are great, especially for the silk ties.  And shipping is very reasonable and fast.  This is the only way we shop for ties!",27,25-54,F
"I've ordered from these guys multiple times. I love the price match guarantee. Best feature ever. I know some other sites have brand exclusivity, but with the wide selection of supplements on the site, you can find always find a similar product at a great price. Shipping has gone way up since using fedex/ ups compared to usps back in the day. I can see why after the first couple mix ups and lack of tracking, but they have seemed to fix that problem. After price matching saving and then comparing the total with shipping with the other reputable supplements sites, I still managed to save a decent amount of money on a $300 order. I will continue to shop SupplementWarehouse.com!",30,25-54,M
"I bought 2 times a game and had a few problems with both orders. My first order was Dark Souls 2 Black Amor Edition, I preordered this game as they had a Special Edition, later my Black Amore was made to a Standart Edition and I didnt got any preorder Item, OST or Artbook (Digital). After a few Emails with support I finaly got my Black Amor DLC and Support said sorry there was a mistake with the order. my second purchase was Wolfenstein The New Order, Preordered it from germany, asked a few times if the key is realy Region Free and if i can activate it in germany since there is a prohibitrunincountry DE tag, I always got an positiv answer and if not, i would get refunde, then they sendet me the key realy early via email, i tried to activate and it didn`t worked, i asked support for refunde and they told me i have to read on the game site there is clearly said i cant use it in germany ?? WTF?? As i preordered and watched 1 day ago there was no message, this message was sent after sending me my key. I made a screenshot and supporter told me then, they will resell the key and if the buyer can activate the key i will get refunde after 72 hours. then i waited but after 72 hours still no refunde, then there was a few prolems because i opend a case with paypal, i closed this case but was a bit scary that i dont get refunde after doing this, but all went good, after a few hours i got all my money back. I think i would buy again, prices are very smart, dark souls 2 worked perfectly, later my black amor dlc too, wolfenstein sadly not but that is not cdkeyhouse foult, thats bethesda because they addet a geo lock to germany :(",30,25-54,F
"I bought months ago Skyrim Box and got it broken, CJS said on Facebook I will get a refunde, I`m still waiting to get my refunde to purchase another game with that. As I posted it to facebook they canceld me on it, so I can`t write anything on the wall. Supporter (CJ Poh) told me that the nw Sniper Elite DLC will cost 2,50 GBP and I will see my refunde when I buy and pay the Item, now the DLC cost 3,70 GBP and I still can`t use or see any refunde!",28,25-54,F
This is a very easy way to get good food at a good price. The site is easy to maneuver and the order came quick. I had a really good experience for my first order,54,25-54,F
I was so excited to discover PetSwag. I can now find all the great pet accessories I love in one place. I especially love their Swag Bags that include fun surprises for my puppy and also make great gifts.,27,25-54,F
"I ordered a driver side mirror that would've cost hundreds, got it for a fraction of the cost. Shipped when it said it would, and got it in less than a week for very cheap S & H. The part was OEM and a perfect match. Would definitely use them again & reccomend them to everyone!",34,25-54,M
site has the best variety and price. Give them a chance,38,25-54,M
"It's awesome to have found a travel site that provides the most competitive prices, a wide variety of hotels, tours, and activities for sale, and an intimate and expert knowledge of the city. Neworleans.com is the ""end all, be all"" for all my New Orleans travel.",30,25-54,M
"We wanted to rent a servicible car that would get us from Quebec to Toronto/Niagara Falls. Ken, who served us in Quebec was fantastic and gave us a really good deal on a Mustang. He must have known something as we have always wanted to drive one. Fantastic car, handled really well, comfortable and easy to drive, only thing to remember, put the most expensive fuel in as it lasts a lot longer than the cheaper one! It may seem to cost more initially, but it is worth it in the end. Would definitely use this company again. Gwen",53,25-54,F
"Ordered a set of stickers for a Triumph Street Triple, I paid for first class recorded delivery (£3.50ish), as I was in the middle of painting a bike for a friend I expected to get these within a day or two at the most, after having no sign of them 3 days later I called to enquire on their whereabouts. The guy I spoke to told me he hadn't ""gotten around"" to doing them yet and that he'd been planning  on making them on Sunday to post on Monday, I didn't get an appology either. Stickers finally arrived on Wensday, If I'm paying for something like this and I'm charged first class recorded I sort of expect to not have to wait over a week for them to arrive because someone plainly just can't be bothered to pull his finger out any sooner, also making a profit off the postage charges is a cheap thing to do (postage was well under £2..the envelope didn't cost the rest I'm sure). Overall the stickers where pretty good, just a shame I had to wait so long to get them, I would have used you again but sadly after this sort of treatment I'll go elsewhere.",42,25-54,M
"I ordered 11 items of which 2 where backordered. Yesterday I recieved the 9 first and they were as specified, but the packaging must be very low quality - it was a cardboard box, of which one of the sides were completely split open. Pure luck none of the heavy schampoo bottles hadn't slipped out! Also, you don't get a shipping order any more, only vouchers for shops that does not have business in my country (this is a very minor issue, but shows clearly they don't even check where the package is going - I don't live in the UK but get a load of discount vouchers for Sainsbury's and a wine company. It annoys me).",35,25-54,F
This website sells AAA high replicas. I bought a replica Chanel handbags from them. Perfect quality. I told my wife that it is a real chanel handbag.,36,25-54,F
"I bought a dress from lightinthebox.com before. The quality is not good. There are many china b2c websites, like milanoo.com, luxurywill.com, or Pandawill.com. You can try others",36,25-54,F
"So much to choose from, so much information.",47,25-54,M
They have everything that I am looking for and they offer so many free samples so I can evaluate before buying. In fact this is my second order and I am buying things that I got as samples in my first order. I would have never tried them otherwise. They were excellent quality. I buy a lot of stuff online but have never had as good experience as i have with Supplement Warehouse.,51,25-54,M
I was told of this website from a friend and when I looked on the website and the amazing prices. Ive ordered almost 200$ of stuff from supplementwarehouse now and the shipping is super fast and worth every penny. Try it for yourself!!!!,18,15-24,M
Great selection at the best prices,52,25-54,M
"I sent name necklaces to my 2 nieces in NY for Christmas. Top of the line all the way from the quality, to the gift box and card. They absolutely love them and I couldn't be happier. I will be ordering more products from My Name Necklace soon. Finally, a company that takes pride in their product and client satisfaction",35,25-54,F
"I've made three purchases from CJS now, Battlefield 4, Total War: Rome 2 and Operation Flashpoint 1 at an absolute fraction of the price other are selling for and extremely efficient service.",26,25-54,M
"Excellent product at an excellent price, extremely prompt free delivery.",25,25-54,M
Costume received early and it it better material than other companies. Cannot wait for Halloween.,45,25-54,F
These are the cheapest parts I could find both in my town and on the internet.  It was easy to navigate through the website and the parts showed up a day earlier than expected which was great!  I would definitely recommend this site to all of my friends and family and to anyone thinking of using it.  It was wonderful!,25,25-54,F
Had 4 new tyres fitted in 40 mins only 2 miles from home and at a great price too including a discount from CSMA :),33,25-54,M
"If you need some new rubber I'd give e tyres a go, they have been fitting my tyre sofr a number of years now, always the best price and great service, they come to you anywhere.",33,25-54,M
"Ordered the parts for next day delivery via paypal, no e-mail acknowledgement from gsf only from paypal, parts didn't arrive, phone'd gsf to be told shipment had gone to the wrong depot and they eventually arrived very late the following day with no appology, was unable to track the shipment.",32,25-54,M
"There is a reason why PHP Designer is rated so high above other IDEs, It has everything. It has an FTP client, PHP Manual, PHP live syntax checking, popup info on function usage, and so much more! The layout can be customized to any developers needs or wants, along with changing the color of the syntax. It supports the norm of CSS, JS, PHP, HTML, but also many other languages. The interface is intuitive, easy to use, and fully packed with useful  features.  Also my favorite feature is: its ability to beautify code. It makes your code much easier to read and to develop with. If you are a web developer seeking for a good editor that doesn't cost huge amounts like Adobe's products, get PHP Designer! I personally think it is better than Adobe's.",18,15-24,M
My husband and I ordered two pairs of shoes for cosplay costumes. I was impressed that both pairs got here so fast and are of high-quality materials. They look genuine to the costumes we are using them for!,25,25-54,F
"Frankly, I paid about $100 for a warranty that cost me $100 later to have my daughter's phone repaired.  So in the end, I basically paid $200 for a used phone.  (I could've just tossed it and bought a new Moto G for $180.) I took it to a local repair shop that said they wouldn't repair it because it had water damage along with the cracked screen.  So I had to send it to Square Trade who actually sent me back a different phone.  (I can tell because the edges of my daughter's phone had scratches and this one doesn't have water damage.)  So did they resolve the issue?  Absolutely.  Was it worth buying the insurance?  Nope.",39,25-54,M
"I was hesitating to purchase an non-OEM salt cell from an online reseller, due to the potential issues and having to deal with returns. Poolsupplyworld.com was great - excellent price, quick delivery, product that works as advertised, and corteous service with personal follow up. I will certainly use this pool supply web store again.",34,25-54,M
I have been ordering my supplements from Supplementwarehouse for years now.  I have saved tons of money and have had no problems with customer services.,24,15-24,M
"The service was great, and i received my package the the day after i ordered it!",25,25-54,M
"Great inventory, fast shipping.  Great that stuff that is ""expired"" is sold at a discount.",26,25-54,F
"Key available in seconds ready for activation, no frills, no messing just the key that you need delivered superfast and at a kickass price, would highly recommend and will be using again!",35,25-54,M
"I choose CJS CD Keys because for prices and stock of products. It's a very safe page to buy, and I loved its anti theft policies when need to activate the keys. In my case, I bought SimCity, and I am very satisfied with the purchase. Recommend page 100%.",31,25-54,M
"I wanted to replace the LCD panel for my Asus G75 ROG, which had the notorious defect where striped lines show up in dark areas. Asus themselves wanted to keep it for a couple of weeks for diagnosis, and refused to simply replace the panel even though it was a known defect (and a ten-minute job). Enter laptopscreen.com; a quick search for my laptop model brought the right product to my attention. It fit perfectly (am using it now) and was delivered quickly and cheaply. I wish I needed more LCD just so I could order from these guys again. I definitely will when I do.",33,25-54,M
The price beating by 5% on supplement warehouse is a great feature for customers,33,25-54,M
I purchased a battery and screen for my EVO but both products did not work.  The top of the screen does not respond and the battery was completly dead with .5mil volts that would not charge.  They will not take back the screen once its used but how do you know it works until you replace it.,49,25-54,M
"This is such a great company! They had what I wanted, ship time was really quick and my new birdie bag is super cute! Definitely recommend.",25,25-54,M
"Great service, fast shipping,  a1",34,25-54,M
"great site great deals, couldn't ask for more",32,25-54,M
Still ordering through Supplement Warehouse even after a delayed delivery on my last order. I sent an e-mail to the help desk and two days later they got me my stuff. Can't complain about that at all! I had prompt responses to my problems and no issues whatsoever.,24,15-24,M
"Awesome prices for Steam Games (Which aren't exactly a rip off in their own right) and instant delivery. Secure ordering process, can't go wrong.",25,25-54,M
"I received an email confirming that my Mum had received her flowers, yet a phone call revealed that she had not received any flowers. A reply to the confirmation email resulted in a reply that stated the flowers were left on the front porch.  Although Mother's Sunday may be a very busy day, a simple ring of the doorbell or a card through the mail slot would have alerted Mum that she had received flowers. Poor Mum spent the day thinking we had forgotten her! Very disappointing...",49,25-54,F
My wife and I planned a trip to Branson mo!!! This site helped us get the hotel we wanted in the location we wanted and the price within our budget!!! Will be using Priceline again!!!!,30,25-54,M
B&H pricing almost  always seems to be lower than other retailers.  I have never been disappointed.  The quality of their items is always exceptional.,49,25-54,M
"JamPlay offers lessons for every ability from ""this is a guitar"" to advanced concepts and techniques.  The lessons are detailed and progressive and something is available for nearly every genre such as rock/blues, jazz, flamenco, and country.",38,25-54,M
by far the best prices both online and off.  Their shipping is very reasonable and they have a ton of free promos and samples to choose from.  great great site!!,34,25-54,M
"I can only comment on my personal experience: I purchased a pair of tickets (for my girlfriend and her best friend) to go and see 'Donny and Marie Osmond' at the O2 arena on the opening night of  their tour. The face value of the tickets were £75.00 each.  I was charged in excess of £350.00 each!! My girlfriend had a the night of her life; and for that I am very, very grateful!!",46,25-54,M
"I have bought some more games from this company and everything works as well.Brilliant customer service replied quickly when I had trouble, after anti fraud checks they sent me my game. I'm very happy and satisfied. I have saved a lot of money. Would definitely buy from here again.",28,25-54,M
I ordered midevial renaissance low cut boot. The sizing is poor. I ordered size available 12/13 and measured from heel to toe was about 11/2 inches to big. For people wanting size 12 get the size 10-11. On top of that my order I had to chase down because fed ex delivered to the wrong address( which clearly wasnt Halloween Cosumes fault. On the ticket inside the box it had our correct address on it. Fed ex had the wrong address on the outside of the box)But the quality of this boot was A+++ Thanks,44,25-54,F
"Certainly cheaper than other sites, clean and easy to use interface. Good customer service if something does go wrong.",29,25-54,M
Never had an issue.  Always great deals,30,25-54,F
"This was a good deal. Their price was right and the product was excellent, a perfect match for the original screen. Thanks to the how-to videos (2), I was able to walk through the entire replacement procedure on my crippled machine before I even ordered the thing.  When the part arrived, It took me about a whopping 10 minutes for the entire job, from removing the bezel to booting up and wiping my finger prints off the new screen.  Total cost about $75 with FedEx shipping. Most highly recommended! OBTW, here's a lesson learned (free advice!):  Don't use your Dell as a step stool...",47,25-54,M
I like to think of myself as a Yesstyle veteran. I've been shopping here frequently for a while now and I'm always satisfied with my purchase. I continue to give Yesstyle.com two thumbs way up!,21,15-24,M
